Stage,Item,Type
Mad Forest,Spinach,Passive
Mad Forest,Clover,Passive
Mad Forest,Hollow Heart,Passive
Mad Forest,Pummarola,Passive
Mad Forest,Skull O'Maniac,Passive
Inlaid Library,Stone Mask,Passive
Inlaid Library,Empty Tome,Passive
Dairy Plant,Attractorb,Passive
Dairy Plant,Candelabrador,Passive
Dairy Plant,Wings,Passive
Dairy Plant,Armor,Passive
Dairy Plant,Vacuum,Pickup
Gallo Tower,Bracer,Passive
Gallo Tower,Spellbinder,Passive
Cappella Magna,Crown,Passive
Cappella Magna,Tirajisu,Passive
Cappella Magna,Duplicator,Passive
Cappella Magna,Rosary,Pickup
Cappella Magna,Nduja Fritta Tanto,Pickup
Moongolow,Spinach,Passive
Moongolow,Armor,Passive
Moongolow,Hollow Heart,Passive
Moongolow,Pummarola,Passive
Moongolow,Empty Tome,Passive
Moongolow,Candelabrador,Passive
Moongolow,Bracer,Passive
Moongolow,Spellbinder,Passive
Moongolow,Duplicator,Passive
Moongolow,Wings,Passive
Moongolow,Attractorb,Passive
Moongolow,Clover,Passive
Moongolow,Crown,Passive
Moongolow,Stone Mask,Passive
Moongolow,Skull O'Maniac,Passive
Moongolow,Tirajisu,Passive
Boss Rash,Spinach,Passive
Boss Rash,Armor,Passive
Boss Rash,Hollow Heart,Passive
Boss Rash,Pummarola,Passive
Boss Rash,Empty Tome,Passive
Boss Rash,Candelabrador,Passive
Boss Rash,Bracer,Passive,Passive
Boss Rash,Spellbinder,Passive
Boss Rash,Duplicator,Passive
Boss Rash,Wings,Passive
Boss Rash,Attractorb,Passive
Boss Rash,Clover,Passive
Boss Rash,Crown,Passive
Boss Rash,Stone Mask,Passive
Boss Rash,Skull O'Maniac,Passive
Boss Rash,Tirajisu,Passive
Boss Rash,Floor Chicken,Pickup
Boss Rash,Nduja Fritta Tanto,Pickup
Boss Rash,Orologion,Pickup
Boss Rash,Rosary,Pickup
Whiteout,Skull O'Maniac,Passive
Whiteout,Wings,Passive
Whiteout,Spinach,Passive
Whiteout,Sorbetto,Pickup
The Coop,Parm Aegis,Passive
Space 54,Candelabrador,Passive
Space 54,Empty Tome,Passive
Space 54,Nduja Fritta Tanto,Pickup
Space 54,Rosary,Pickup
Space 54,Gold Finger,Pickup
Space 54,Gilded Clover,Pickup
Space 54,Vacuum,Pickup
Laborratory,Clover,Passive
Laborratory,Spellbinder,Passive
Laborratory,Attractorb,Passive
Laborratory,Vacuum,Pickup
Laborratory,Rosary,Pickup
Laborratory,Little Clover,Pickup
Astral Stair,Gold Finger,Pickup
Astral Stair,Vacuum,Pickup
Tiny Bridge,Wings,Passive
Tiny Bridge,Attractorb,Passive
Mt. Moonspell,Spinach,Passive
Mt. Moonspell,Pummarola,Passive
Mt. Moonspell,Candelabrador,Passive
Mt. Moonspell,Attractorb,Passive
Mt. Moonspell,Duplicator,Passive
Mt. Moonspell,Stone Mask,Passive
Mt. Moonspell,Nduja Fritta Tanto,Pickup
Mt. Moonspell,Rosary,Pickup
Mt. Moonspell,Floor Chicken,Pickup
Mt. Moonspell,Vacuum,Pickup
Mt. Moonspell,Gilded Clover,Pickup
Mt. Moonspell,Orologion,Pickup
Mt. Moonspell,Little Clover,Pickup
Lake Foscari,Armor,Passive
Lake Foscari,Bracer,Passive
Lake Foscari,Clover,Passive
Lake Foscari,Crown,Passive
Lake Foscari,Skull O'Maniac,Passive
Lake Foscari,Nduja Fritta Tanto,Pickup
Lake Foscari,Floor Chicken,Pickup
Lake Foscari,Orologion,Pickup
Lake Foscari,Rosary,Pickup
Lake Foscari,Vacuum,Pickup
Lake Foscari,Little Clover,Pickup
Abyss Foscari,Armor,Passive
Abyss Foscari,Empty Tome,Passive
Abyss Foscari,Attractorb,Passive
Abyss Foscari,Crown,Passive
Abyss Foscari,Stone Mask,Passive
Abyss Foscari,Skull O'Maniac,Passive
Abyss Foscari,Academy Badge,Passive
Abyss Foscari,Vacuum,Pickup
Polus Replica,Nduja Fritta Tanto,Pickup
Polus Replica,Vacuum,Pickup
Neo Galuga,Weapon Power-Up,Passive
Neo Galuga,Wings,Passive
Neo Galuga,Rapid Fire,Pickup
Neo Galuga,Barrier,Pickup
Neo Galuga,Grenade,Pickup
Neo Galuga,Little Clover,Pickup
Neo Galuga,Vacuum,Pickup
Ode to Castlevania,Parm Aegis,Passive
Ode to Castlevania,Tirajisu,Passive
Ode to Castlevania,Karoma's Mana,Passive
Ode to Castlevania,Wall Chicken,Pickup
Ode to Castlevania,Heart Refresh,Pickup
Ode to Castlevania,Mirror of Truth,Pickup
Ode to Castlevania,Karma Coin,Pickup
Ode to Castlevania,Neutron Bomb,Pickup
Emerald Diorama,Spellbinder,Passive
Emerald Diorama,Spinach,Passive
Emerald Diorama,Crown,Passive
Emerald Diorama,Stone Mask,Passive
Emerald Diorama,Parm Aegis,Passive
Emerald Diorama,Karoma's Mana,Passive